Computer_Time, BaseRightFront,BaseRightBack, BackRightL1,BackRightL2,Top,BackRightL3,BackRightL4,BackLeftL4,BackLeftL3,BackLeftL2, Middle, BackLeftL1, BaseLeftBack, BaseLeftRight,Posture
16:32:44,193.00,16,17,17,16,16,17,16,16,17,17,17,626,243,1
16:32:46,230.00,366,86,67,17,40,83,231,36,72,177,38,516,175,1
16:32:49,232.00,376,87,67,18,57,89,250,37,73,171,32,519,184,1
16:32:51,229.00,379,84,73,17,65,92,261,39,69,162,29,522,191,1
16:32:53,226.00,382,86,90,16,71,89,265,40,70,162,31,523,196,1
16:32:55,217.00,378,87,98,18,17,17,152,141,100,137,36,584,236,1
16:32:57,213.00,409,117,155,17,26,17,17,30,71,180,98,489,199,1
16:32:59,221.00,317,41,73,105,49,94,256,86,60,83,17,397,198,1
16:33:01,344.00,17,34,125,74,124,117,158,17,66,139,18,384,204,1
16:33:04,345.00,16,35,128,66,127,114,154,17,66,141,21,394,217,1
16:33:06,349.00,17,35,130,63,120,110,178,21,67,134,21,405,211,1
16:33:08,208.00,271,90,204,18,41,17,65,65,121,205,179,465,165,1
16:33:10,242.00,308,33,156,18,103,18,104,70,66,86,45,505,193,1
16:33:12,243.00,304,25,171,18,108,16,150,71,66,96,68,506,202,1
16:33:25,610.00,19,17,17,155,182,85,18,18,17,18,18,211,34,11
16:33:27,606.00,18,18,16,87,215,147,18,17,17,17,17,197,23,11
16:33:29,555.00,480,16,106,80,128,17,17,17,367,17,90,434,135,11
16:33:31,606.00,388,16,16,68,284,16,16,16,17,16,16,156,16,11
16:33:34,601.00,353,16,45,123,283,17,17,17,17,17,21,197,16,11
16:33:36,608.00,386,16,17,100,223,17,17,17,18,17,53,235,31,11
16:33:44,17.00,302,17,16,116,17,17,293,325,257,16,16,483,438,11
16:33:46,18.00,305,17,17,112,17,17,267,327,275,17,17,494,439,11
16:33:49,16.00,312,17,16,102,17,16,252,352,278,16,17,506,434,11
16:33:51,379.00,246,17,17,110,16,17,17,52,202,16,69,644,541,11
16:33:53,355.00,201,16,17,109,17,17,16,163,261,17,17,604,515,11
16:33:55,295.00,252,17,17,16,16,16,16,68,227,16,16,674,566,11
16:33:57,231.00,17,16,16,109,17,17,42,254,252,15,16,504,455,11
16:34:12,372.00,384,39,205,18,18,17,18,18,63,151,245,572,219,111
16:34:14,390.00,422,17,16,16,16,16,16,16,64,120,17,581,247,111
16:34:16,379.00,421,45,183,16,15,16,17,16,81,166,248,571,220,111
16:34:19,383.00,16,63,229,17,16,16,15,16,87,181,261,583,212,111
16:34:21,385.00,17,58,255,16,16,16,16,16,85,187,255,581,209,111
16:34:23,382.00,16,57,262,16,16,16,16,16,66,175,258,583,214,111
16:34:25,379.00,17,58,256,17,16,16,17,16,67,193,299,591,225,111
16:34:27,377.00,16,56,255,17,16,16,16,16,69,194,294,588,230,111
16:34:42,319.00,274,20,20,73,255,90,77,212,22,20,20,497,359,1111
16:34:44,318.00,270,20,21,69,253,129,71,205,23,20,20,494,365,1111
16:34:46,319.00,244,20,20,62,248,132,85,189,20,19,19,494,366,1111
16:34:49,322.00,277,18,18,54,236,67,79,164,20,19,19,515,413,1111
16:34:51,390.00,168,19,19,19,52,20,157,374,293,19,19,363,520,1111
16:34:53,335.00,199,19,18,19,66,19,252,356,212,19,20,407,539,1111
16:34:55,382.00,16,16,16,81,237,140,151,257,120,16,17,194,343,1111
16:34:57,387.00,16,16,17,30,238,176,131,270,117,16,16,15,349,1111
16:34:59,405.00,16,16,38,16,280,62,159,244,159,16,16,17,338,1111
16:35:01,405.00,16,17,38,16,276,78,216,220,138,16,16,16,350,1111
16:35:03,409.00,16,16,37,15,296,73,130,246,151,16,16,16,355,1111
16:35:06,408.00,16,16,47,17,311,57,173,249,159,16,16,17,355,1111
16:35:08,408.00,17,16,40,16,293,73,180,230,145,16,15,16,356,1111
16:35:10,410.00,15,16,18,16,309,90,223,254,136,17,16,15,358,1111
16:35:12,409.00,16,16,47,16,312,81,191,261,164,15,16,15,358,1111
16:35:14,411.00,17,16,43,16,300,92,216,252,149,16,17,16,358,1111
16:36:29,374.00,17,17,258,18,79,17,42,17,151,16,443,538,321,1
16:36:31,392.00,16,17,214,16,76,19,92,21,134,17,436,553,328,1
16:36:33,372.00,17,17,247,16,93,26,73,27,138,16,435,541,326,1
16:36:36,374.00,16,17,233,16,95,41,148,41,139,16,419,547,329,1
16:36:38,369.00,16,16,199,17,88,52,40,16,140,16,400,558,321,1
16:36:40,427.00,18,17,206,18,83,18,35,17,133,18,394,519,352,1
16:36:42,386.00,16,15,135,75,155,89,57,16,113,16,206,532,346,1
16:36:44,390.00,16,17,226,40,182,16,111,32,117,16,275,542,347,1
16:36:46,371.00,16,15,218,16,115,17,139,67,114,17,259,557,368,1
16:36:48,369.00,17,16,219,22,91,17,235,107,114,15,241,532,366,1
16:36:51,372.00,16,15,148,95,136,49,16,26,88,16,270,549,350,1
16:36:53,377.00,16,16,258,16,52,15,16,16,97,16,355,559,342,1
16:36:55,383.00,15,15,268,17,66,16,15,21,96,16,351,561,353,1
16:37:06,17.00,16,16,16,16,17,17,16,163,462,28,65,644,413,11
16:37:08,16.00,16,16,16,34,17,17,16,142,436,16,16,643,405,11
16:37:10,16.00,79,16,16,109,16,16,15,183,465,15,16,675,407,11
16:37:12,16.00,86,17,16,72,17,16,17,224,426,16,16,660,411,11
16:37:14,16.00,90,15,16,32,16,16,15,194,417,16,15,647,408,11
16:37:16,17.00,101,16,16,37,16,17,16,250,436,16,16,658,410,11
16:37:18,17.00,114,16,15,48,16,16,15,242,433,16,17,650,410,11
16:37:20,16.00,116,16,17,36,16,17,16,256,428,16,16,652,409,11
16:37:23,16.00,31,17,16,15,15,16,17,186,458,15,16,610,397,11
16:37:25,17.00,95,16,16,42,17,16,16,283,449,15,16,648,401,11
16:37:27,16.00,86,15,16,16,16,15,16,129,430,16,16,651,414,11
16:37:29,16.00,119,16,16,16,16,16,16,189,437,15,15,656,422,11
16:37:40,469.00,15,16,16,16,15,16,16,16,15,15,281,509,16,11
16:37:42,475.00,16,16,16,66,15,15,17,16,16,15,230,502,15,11
16:37:44,525.00,16,15,332,17,294,16,16,16,17,16,361,585,63,11
16:37:46,512.00,15,16,302,16,314,21,17,16,15,16,302,593,108,11
16:37:48,498.00,15,16,363,16,234,16,16,16,16,16,398,579,63,11
16:37:50,496.00,15,16,299,17,198,16,17,15,16,17,392,595,85,11
16:37:53,486.00,16,17,334,32,249,16,16,16,16,16,369,596,107,11
16:37:55,467.00,16,16,375,29,267,16,16,15,15,17,365,601,129,11
16:37:57,460.00,17,16,371,46,252,15,16,16,16,17,371,599,126,11
16:37:59,464.00,16,17,392,43,251,15,16,16,16,15,392,609,137,11
